Word Frequencies:
the: 61100
project: 200
gutenberg: 174
ebook: 26
of: 37720
complete: 48
works: 134
william: 178
shakespeare: 18
this: 14308
is: 19500
for: 16384
use: 722
anyone: 30
anywhere: 18
in: 24900
united: 40
states: 76
and: 56974
most: 2498
other: 1470
parts: 246
world: 1344
at: 5486
no: 8156
cost: 108
with: 17106
almost: 352
restrictions: 4
whatsoever: 34
you: 28870
may: 3614
copy: 48
it: 16404
give: 2846
away: 1816
or: 5428
reuse: 4
under: 632
terms: 204
license: 48
included: 8
online: 8
wwwgutenbergorg: 10
if: 7630
are: 7452
not: 18146
located: 14
will: 10594
have: 12538
to: 42070
check: 62
laws: 108
country: 332
where: 2726
before: 1966
using: 28
title: 216
author: 30
release: 16
date: 52
january: 6
recently: 2
updated: 4
october: 2
language: 88
english: 332
start: 78
by: 8206
contents: 134
sonnets: 12
alls: 88
well: 5254
that: 23610
ends: 108
tragedy: 56
antony: 1032
cleopatra: 536
as: 12386
like: 3874
comedy: 24
errors: 32
coriolanus: 420
cymbeline: 220
hamlet: 924
prince: 1490
denmark: 52
first: 2766
part: 1266
king: 6038
henry: 1254
fourth: 128
second: 1268
life: 1848
fifth: 70
sixth: 70
third: 552
eighth: 12
death: 1858
john: 1016
julius: 38
caesar: 1036
lear: 462
loves: 652
labours: 36
lost: 574
macbeth: 564
measure: 196
merchant: 124
venice: 154
merry: 362
wives: 126
windsor: 92
a: 32716
midsummer: 10
nights: 132
dream: 254
much: 2200
ado: 40
about: 874
nothing: 1352
othello: 648
moor: 170
pericles: 374
tyre: 70
richard: 1546
romeo: 600
juliet: 394
taming: 6
shrew: 34
tempest: 102
timon: 630
athens: 238
titus: 470
andronicus: 126
troilus: 504
cressida: 360
twelfth: 6
night: 1434
what: 9488
two: 1550
gentlemen: 458
verona: 70
noble: 1332
kinsmen: 52
winters: 70
tale: 232
lovers: 176
complaint: 32
passionate: 22
pilgrim: 24
phoenix: 40
turtle: 18
rape: 36
lucrece: 90
venus: 76
adonis: 54
from: 5818
fairest: 96
creatures: 98
we: 7126
desire: 538
increase: 64
thereby: 56
beautys: 70
rose: 162
might: 1122
never: 2276
die: 1042
but: 13482
riper: 6
should: 3404
time: 2224
decease: 14
his: 15200
tender: 312
heir: 224
bear: 1138
memory: 122
thou: 11712
contracted: 22
thine: 1008
own: 1662
bright: 184
eyes: 1616
feedst: 6
thy: 8706
lights: 68
flame: 54
selfsubstantial: 2
fuel: 10
making: 182
famine: 24
abundance: 28
lies: 558
thyself: 478
foe: 148
sweet: 1736
self: 230
too: 2688
cruel: 152
art: 1976
now: 6028
worlds: 130
fresh: 206
ornament: 40
only: 688
herald: 140
gaudy: 18
spring: 146
within: 1032
bud: 44
buriest: 2
content: 354
churl: 18
makst: 62
waste: 102
niggarding: 2
pity: 506
else: 898
glutton: 10
be: 14746
eat: 316
due: 170
grave: 392
thee: 6832
when: 4452
forty: 62
shall: 7702
besiege: 22
brow: 164
dig: 20
deep: 332
trenches: 16
field: 462
youths: 28
proud: 458
livery: 58
so: 10884
gazed: 16
on: 6714
tattered: 6
weed: 44
small: 198
worth: 454
held: 182
then: 4858
being: 1502
asked: 52
all: 8538
beauty: 518
treasure: 126
lusty: 78
days: 496
say: 3500
sunken: 6
were: 3440
an: 3784
alleating: 2
shame: 698
thriftless: 8
praise: 384
how: 4612
more: 5030
deservd: 42
couldst: 68
answer: 786
fair: 1768
child: 518
mine: 2524
sum: 116
my: 26372
count: 212
make: 3578
old: 1504
excuse: 174
proving: 4
succession: 34
new: 452
made: 1806
see: 3104
blood: 1378
warm: 96
feelst: 6
cold: 440
look: 1764
glass: 150
tell: 2234
face: 960
viewest: 4
form: 232
another: 1188
whose: 1400
repair: 98
renewest: 2
dost: 902
beguile: 54
unbless: 2
some: 2884
mother: 706
she: 5494
uneared: 2
womb: 118
disdains: 14
tillage: 2
husbandry: 30
who: 2734
he: 13876
fond: 128
tomb: 112
selflove: 16
stop: 216
posterity: 28
mothers: 212
calls: 204
back: 710
lovely: 114
april: 32
her: 9264
prime: 46
through: 644
windows: 44
age: 450
shalt: 640
despite: 116
wrinkles: 32
golden: 214
live: 1120
remembered: 42
single: 120
image: 110
dies: 236
unthrifty: 8
loveliness: 4
why: 3106
spend: 148
upon: 3732
legacy: 12
natures: 144
bequest: 2
gives: 358
doth: 2164
lend: 228
frank: 24
lends: 34
those: 1226
free: 414
beauteous: 90
niggard: 20
abuse: 110
bounteous: 38
largess: 10
given: 406
profitless: 6
usurer: 18
great: 1924
sums: 34
yet: 3488
canst: 384
having: 360
traffic: 22
alone: 524
deceive: 58
nature: 742
gone: 978
acceptable: 2
audit: 18
leave: 1406
unused: 10
must: 3294
tombed: 2
which: 5116
used: 118
lives: 456
th: 1982
executor: 4
hours: 330
gentle: 788
work: 484
did: 3568
frame: 100
gaze: 62
every: 1012
eye: 998
dwell: 96
play: 632
tyrants: 44
very: 1704
same: 826
unfair: 2
fairly: 98
excel: 14
neverresting: 2
leads: 68
summer: 126
hideous: 46
winter: 110
confounds: 30
him: 11108
there: 3888
sap: 30
checked: 12
frost: 26
leaves: 162
quite: 182
oersnowed: 2
bareness: 8
summers: 80
distillation: 4
left: 542
liquid: 18
prisoner: 174
pent: 16
walls: 192
effect: 146
bereft: 44
nor: 2116
remembrance: 128
was: 4878
flowers: 172
distilled: 16
though: 1380
they: 5538
meet: 664
leese: 2
their: 4748
show: 900
substance: 84
still: 1270
let: 4450
ragged: 50
hand: 1824
deface: 10
ere: 796
vial: 10
place: 1022
selfkilled: 2
forbidden: 10
usury: 8
happies: 2
pay: 306
willing: 84
loan: 6
thats: 874
breed: 116
ten: 322
times: 512
happier: 36
one: 3918
than: 4036
refigured: 2
could: 1374
do: 8034
shouldst: 162
depart: 144
leaving: 56
living: 264
selfwilled: 4
deaths: 120
conquest: 70
worms: 52
lo: 176
orient: 14
gracious: 392
light: 632
lifts: 12
up: 2322
burning: 110
head: 1106
each: 574
homage: 34
newappearing: 4
sight: 452
serving: 12
looks: 492
